Replicate,Clone,treatment,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
5,6,S,1,0,1,0,0,0,0,1,0
5,7,S,2,0,0,1,0,0,0,0,1
5,8,S,2,0,0,1,0,0,0,0,1
5,9,S,3,0,0,0,1,0,0,0,1
5,10,S,3,0,0,0,1,0,0,0,1
5,11,S,0,1,0,0,0,0,0,0,0
5,12,S,0,1,0,0,0,0,0,0,0
5,13,S,0,1,0,0,0,0,0,0,0
5,14,S,2,0,0,1,0,0,0,0,1
5,15,S,2,0,0,1,0,0,0,0,1
5,16,S,0,1,0,0,0,0,0,0,0
5,17,S,1,0,1,0,0,0,0,1,0
5,18,S,0,1,0,0,0,0,0,0,0
5,19,S,3,0,0,0,1,0,0,0,1
5,20,S,0,1,0,0,0,0,0,0,0
5,21,S,0,1,0,0,0,0,0,0,0
5,22,S,1,0,1,0,0,0,0,1,0
5,23,S,2,0,0,1,0,0,0,0,1
5,24,S,1,0,1,0,0,0,0,1,0
6,1,S,0,1,0,0,0,0,0,0,0
6,2,S,0,1,0,0,0,0,0,0,0
6,3,S,3,0,0,0,1,0,0,0,1
6,4,S,1,0,1,0,0,0,0,1,0
6,5,S,0,1,0,0,0,0,0,0,0
6,6,S,0,1,0,0,0,0,0,0,0
6,7,S,1,0,1,0,0,0,0,1,0
6,8,S,0,1,0,0,0,0,0,0,0
6,9,S,2,0,0,1,0,0,0,0,1
6,10,S,0,1,0,0,0,0,0,0,0
6,11,S,0,1,0,0,0,0,0,0,0
6,12,S,0,1,0,0,0,0,0,0,0
6,13,S,0,1,0,0,0,0,0,0,0
6,14,S,0,1,0,0,0,0,0,0,0
6,15,S,0,1,0,0,0,0,0,0,0
6,16,S,0,1,0,0,0,0,0,0,0
6,17,S,0,1,0,0,0,0,0,0,0
6,18,S,3,0,0,0,1,0,0,0,1
6,19,S,0,1,0,0,0,0,0,0,0
6,20,S,0,1,0,0,0,0,0,0,0
6,21,S,0,1,0,0,0,0,0,0,0
6,22,S,0,1,0,0,0,0,0,0,0
6,23,S,1,0,1,0,0,0,0,1,0
6,24,S,4,0,0,0,0,1,0,0,1
1,1,L,0,1,0,0,0,0,0,0,0
1,2,L,0,1,0,0,0,0,0,0,0
1,3,L,0,1,0,0,0,0,0,0,0
1,4,L,0,1,0,0,0,0,0,0,0
1,5,L,0,1,0,0,0,0,0,0,0
1,6,L,0,1,0,0,0,0,0,0,0
1,7,L,0,1,0,0,0,0,0,0,0
1,8,L,0,1,0,0,0,0,0,0,0
1,9,L,0,1,0,0,0,0,0,0,0
1,10,L,0,1,0,0,0,0,0,0,0
1,11,L,2,0,0,1,0,0,0,0,1
1,12,L,0,1,0,0,0,0,0,0,0
1,13,L,0,1,0,0,0,0,0,0,0
1,14,L,2,0,0,1,0,0,0,0,1
1,15,L,2,0,0,1,0,0,0,0,1
1,16,L,0,1,0,0,0,0,0,0,0
1,17,L,1,0,1,0,0,0,0,1,0
1,18,L,0,1,0,0,0,0,0,0,0
1,19,L,0,1,0,0,0,0,0,0,0
1,20,L,0,1,0,0,0,0,0,0,0
1,21,L,5,0,0,0,0,0,1,0,1
1,22,L,0,1,0,0,0,0,0,0,0
1,23,L,1,0,1,0,0,0,0,1,0
1,24,L,2,0,0,1,0,0,0,0,1
2,1,L,0,1,0,0,0,0,0,0,0
2,2,L,0,1,0,0,0,0,0,0,0
2,3,L,0,1,0,0,0,0,0,0,0
2,4,L,0,1,0,0,0,0,0,0,0
2,5,L,0,1,0,0,0,0,0,0,0
2,6,L,0,1,0,0,0,0,0,0,0
2,7,L,0,1,0,0,0,0,0,0,0
2,8,L,0,1,0,0,0,0,0,0,0
2,9,L,0,1,0,0,0,0,0,0,0
2,10,L,0,1,0,0,0,0,0,0,0
2,11,L,0,1,0,0,0,0,0,0,0
2,12,L,3,0,0,0,1,0,0,0,1
2,13,L,0,1,0,0,0,0,0,0,0
2,14,L,0,1,0,0,0,0,0,0,0
2,15,L,0,1,0,0,0,0,0,0,0
2,16,L,0,1,0,0,0,0,0,0,0
2,17,L,0,1,0,0,0,0,0,0,0
2,18,L,1,0,1,0,0,0,0,1,0
2,19,L,0,1,0,0,0,0,0,0,0
2,20,L,0,1,0,0,0,0,0,0,0
2,21,L,0,1,0,0,0,0,0,0,0
2,22,L,0,1,0,0,0,0,0,0,0
2,23,L,2,0,0,1,0,0,0,0,1
2,24,L,0,1,0,0,0,0,0,0,0
3,1,L,1,0,1,0,0,0,0,1,0
3,2,L,1,0,1,0,0,0,0,1,0
3,3,L,1,0,1,0,0,0,0,1,0
3,4,L,1,0,1,0,0,0,0,1,0
3,5,L,3,0,0,0,1,0,0,0,1
3,6,L,0,1,0,0,0,0,0,0,0
3,7,L,1,0,1,0,0,0,0,1,0
3,8,L,1,0,1,0,0,0,0,1,0
3,9,L,0,1,0,0,0,0,0,0,0
3,10,L,2,0,0,1,0,0,0,0,1
3,11,L,0,1,0,0,0,0,0,0,0
3,12,L,0,1,0,0,0,0,0,0,0
3,13,L,1,0,1,0,0,0,0,1,0
3,14,L,3,0,0,0,1,0,0,0,1
3,15,L,0,1,0,0,0,0,0,0,0
3,16,L,1,0,1,0,0,0,0,1,0
3,17,L,1,0,1,0,0,0,0,1,0
3,18,L,0,1,0,0,0,0,0,0,0
3,19,L,2,0,0,1,0,0,0,0,1
3,20,L,1,0,1,0,0,0,0,1,0
3,21,L,2,0,0,1,0,0,0,0,1
3,22,L,1,0,1,0,0,0,0,1,0
3,23,L,2,0,0,1,0,0,0,0,1
3,24,L,0,1,0,0,0,0,0,0,0
4,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,6,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,7,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,9,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,10,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,11,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,12,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,13,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,14,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,15,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,16,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,17,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,18,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,19,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,20,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,21,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,22,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,23,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,24,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,L,1,0,1,0,0,0,0,1,0
5,2,L,0,1,0,0,0,0,0,0,0
5,3,L,3,0,0,0,1,0,0,0,1
5,4,L,0,1,0,0,0,0,0,0,0
5,5,L,2,0,0,1,0,0,0,0,1
5,6,L,0,1,0,0,0,0,0,0,0
5,7,L,0,1,0,0,0,0,0,0,0
5,8,L,0,1,0,0,0,0,0,0,0
5,9,L,0,1,0,0,0,0,0,0,0
5,10,L,1,0,1,0,0,0,0,1,0
5,11,L,2,0,0,1,0,0,0,0,1
5,12,L,1,0,1,0,0,0,0,1,0
5,13,L,3,0,0,0,1,0,0,0,1
5,14,L,0,1,0,0,0,0,0,0,0
5,15,L,0,1,0,0,0,0,0,0,0
5,16,L,0,1,0,0,0,0,0,0,0
5,17,L,2,0,0,1,0,0,0,0,1
5,18,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,19,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,20,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,21,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,22,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,23,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,24,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,9,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,10,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,11,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,12,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,13,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,14,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,15,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,16,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,17,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,18,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,19,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,20,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,21,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,22,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,23,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,24,L,NA,NA,NA,NA,NA,NA,NA,NA,NA
