ID,bottleneck,timepoint,pfu,cfu,raw,dilution,MOI
1,2,t3,1.40E+06,4.50E+08,45,1.00E+07,
2,2,t3,4.20E+06,4.40E+08,44,1.00E+07,
3,2,t3,3.40E+06,4.50E+08,45,1.00E+07,
1,3,t3,3.00E+07,3.80E+08,38,1.00E+07,
2,3,t3,4.60E+08,3.10E+08,31,1.00E+07,
3,3,t3,5.00E+05,3.00E+08,30,1.00E+07,
1,4,t3,4.80E+03,2.20E+08,22,1.00E+07,
2,4,t3,2.00E+05,1.00E+08,10,1.00E+07,
3,4,t3,4.00E+02,2.80E+08,28,1.00E+07,
1,5,t3,3.00E+04,1.50E+08,15,1.00E+07,
2,5,t3,0.00E+00,7.00E+07,7,1.00E+07,
3,5,t3,0.00E+00,1.70E+08,17,1.00E+07,
1,6,t3,0.00E+00,4.00E+07,4,1.00E+07,
2,6,t3,0.00E+00,9.00E+07,9,1.00E+07,
3,6,t3,1.60E+03,4.72E+09,472,1.00E+07,
1,7,t3,0.00E+00,5.00E+06,50,1.00E+05,
2,7,t3,0.00E+00,4.20E+06,42,1.00E+05,
3,7,t3,0.00E+00,2.00E+06,20,1.00E+05,
1,8,t3,0.00E+00,2.44E+06,244,1.00E+04,
2,8,t3,0.00E+00,2.00E+03,2,1.00E+03,
3,8,t3,0.00E+00,0.00E+00,0,1.00E+00,
1,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
2,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
3,9,t3,0.00E+00,0.00E+00,0,1.00E+00,
1,2,t4,2.00E+02,4.60E+08,23,20000000,
2,2,t4,0.00E+00,4.00E+08,20,20000000,
3,2,t4,2.00E+02,4.60E+08,23,20000000,
1,3,t4,0.00E+00,3.60E+08,18,20000000,
2,3,t4,0.00E+00,1.60E+08,8,20000000,
3,3,t4,2.00E+02,3.00E+08,15,20000000,
1,4,t4,6.00E+02,2.80E+08,14,20000000,
2,4,t4,6.00E+03,3.60E+08,18,20000000,
3,4,t4,4.00E+02,2.60E+08,13,20000000,
1,5,t4,0.00E+00,2.80E+08,14,20000000,
2,5,t4,0.00E+00,1.20E+08,6,20000000,
3,5,t4,0.00E+00,1.80E+08,9,20000000,
1,6,t4,0.00E+00,1.20E+08,6,20000000,
2,6,t4,0.00E+00,1.60E+08,8,20000000,
3,6,t4,0.00E+00,4.60E+07,23,2000000,
1,7,t4,0.00E+00,3.20E+06,16,200000,
2,7,t4,0.00E+00,3.20E+06,16,200000,
3,7,t4,0.00E+00,3.00E+06,15,200000,
1,8,t4,0.00E+00,0.00E+00,0,0,
2,8,t4,0.00E+00,0.00E+00,0,0,
3,8,t4,0.00E+00,0.00E+00,0,0,
1,9,t4,0.00E+00,0.00E+00,0,0,
2,9,t4,0.00E+00,0.00E+00,0,0,
3,9,t4,0.00E+00,0.00E+00,0,0,
1,2,t5,,,,,
2,2,t5,,,,,
3,2,t5,,,,,
1,3,t5,,,,,
2,3,t5,,,,,
3,3,t5,,,,,
1,4,t5,,,,,
2,4,t5,,,,,
3,4,t5,,,,,
1,5,t5,,,,,
2,5,t5,,,,,
3,5,t5,,,,,
1,6,t5,,,,,
2,6,t5,,,,,
3,6,t5,,,,,
1,7,t5,,,,,
2,7,t5,,,,,
3,7,t5,,,,,
1,8,t5,,,,,
2,8,t5,,,,,
3,8,t5,,,,,
1,9,t5,,,,,
2,9,t5,,,,,
3,9,t5,,,,,
