bottleneck,treatment,timepoint,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
8,crisprN,t0,2.38E+04,2.09E+03,2.71E+05,3.17E+06,7.49E+04,1.34E+08
9,crisprN,t0,2.26E+04,1.98E+03,2.57E+05,3.76E+06,8.88E+04,1.59E+08
2,crisprN,t1,4.08E+09,3.59E+08,4.65E+10,4.48E+05,1.06E+04,1.90E+07
3,crisprN,t1,2.92E+09,2.57E+08,3.33E+10,9.74E+05,2.30E+04,4.12E+07
4,crisprN,t1,8.64E+09,7.59E+08,9.83E+10,5.04E+05,1.19E+04,2.13E+07
5,crisprN,t1,4.28E+09,3.76E+08,4.87E+10,9.28E+04,2.20E+03,3.93E+06
6,crisprN,t1,5.10E+09,4.48E+08,5.80E+10,1.89E+06,4.47E+04,8.00E+07
7,crisprN,t1,5.75E+09,5.05E+08,6.55E+10,1.54E+06,3.65E+04,6.52E+07
8,crisprN,t1,1.17E+10,1.03E+09,1.33E+11,2.88E+06,6.81E+04,1.22E+08
9,crisprN,t1,9.08E+09,7.98E+08,1.03E+11,2.66E+06,6.29E+04,1.12E+08
2,crisprN,t2,3.43E+08,3.01E+07,3.90E+09,3.67E+09,8.67E+07,1.55E+11
3,crisprN,t2,3.51E+07,3.08E+06,3.99E+08,1.27E+09,2.99E+07,5.35E+10
4,crisprN,t2,3.55E+06,3.12E+05,4.05E+07,5.38E+08,1.27E+07,2.28E+10
5,crisprN,t2,1.47E+06,1.29E+05,1.67E+07,1.90E+08,4.49E+06,8.03E+09
6,crisprN,t2,1.36E+04,1.20E+03,1.55E+05,3.81E+08,9.02E+06,1.61E+10
7,crisprN,t2,6.21E+01,5.46E+00,7.07E+02,2.09E+08,4.94E+06,8.83E+09
8,crisprN,t2,1.00E+00,8.79E-02,1.14E+01,9.52E+06,2.25E+05,4.03E+08
9,crisprN,t2,1.00E+00,8.79E-02,1.14E+01,9.34E+03,2.21E+02,3.95E+05
2,crisprN,t3,2.71E+06,2.38E+05,3.09E+07,4.47E+08,1.06E+07,1.89E+10
3,crisprN,t3,1.90E+07,1.67E+06,2.17E+08,3.28E+08,7.76E+06,1.39E+10
