Clone,Bottleneck,Replicate,Phenotype
17,50-clone,5,CRISPR
18,50-clone,5,Sensitive
19,50-clone,5,CRISPR
20,50-clone,5,Sensitive
21,50-clone,5,CRISPR
22,50-clone,5,CRISPR
23,50-clone,5,CRISPR
24,50-clone,5,CRISPR
1,50-clone,6,CRISPR
2,50-clone,6,CRISPR
3,50-clone,6,CRISPR
4,50-clone,6,CRISPR
5,50-clone,6,CRISPR
6,50-clone,6,CRISPR
7,50-clone,6,CRISPR
8,50-clone,6,CRISPR
9,50-clone,6,CRISPR
10,50-clone,6,CRISPR
11,50-clone,6,CRISPR
12,50-clone,6,CRISPR
13,50-clone,6,CRISPR
14,50-clone,6,CRISPR
15,50-clone,6,CRISPR
16,50-clone,6,CRISPR
17,50-clone,6,CRISPR
18,50-clone,6,CRISPR
19,50-clone,6,CRISPR
20,50-clone,6,CRISPR
21,50-clone,6,CRISPR
22,50-clone,6,CRISPR
23,50-clone,6,CRISPR
24,50-clone,6,CRISPR
