Clone,Bottleneck,Replicate,Phenotype
1,1000000000,6,na
2,1000000000,6,na
3,1000000000,6,na
4,1000000000,6,na
5,1000000000,6,na
6,1000000000,6,na
7,1000000000,6,na
8,1000000000,6,na
9,1000000000,6,na
10,1000000000,6,na
11,1000000000,6,na
12,1000000000,6,na
13,1000000000,6,na
14,1000000000,6,na
15,1000000000,6,na
16,1000000000,6,na
17,1000000000,6,na
18,1000000000,6,na
19,1000000000,6,na
20,1000000000,6,na
21,1000000000,6,na
22,1000000000,6,na
23,1000000000,6,na
24,1000000000,6,na
