Clone,Bottleneck,Replicate,Phenotype
6,10000,2,CRISPR
7,10000,2,CRISPR
8,10000,2,CRISPR
9,10000,2,CRISPR
10,10000,2,CRISPR
11,10000,2,SM
12,10000,2,CRISPR
13,10000,2,CRISPR
14,10000,2,Sensitive
15,10000,2,CRISPR
16,10000,2,CRISPR
17,10000,2,CRISPR
18,10000,2,CRISPR
19,10000,2,CRISPR
20,10000,2,Sensitive
21,10000,2,CRISPR
22,10000,2,CRISPR
23,10000,2,CRISPR
24,10000,2,CRISPR
1,10000,3,CRISPR
2,10000,3,CRISPR
3,10000,3,SM
4,10000,3,CRISPR
5,10000,3,CRISPR
6,10000,3,CRISPR
7,10000,3,SM
8,10000,3,SM
9,10000,3,SM
10,10000,3,SM
11,10000,3,CRISPR
12,10000,3,CRISPR
13,10000,3,CRISPR
14,10000,3,Sensitive
15,10000,3,CRISPR
16,10000,3,CRISPR
17,10000,3,CRISPR
18,10000,3,CRISPR
19,10000,3,SM
20,10000,3,CRISPR
21,10000,3,CRISPR
22,10000,3,CRISPR
23,10000,3,CRISPR
24,10000,3,CRISPR
1,10000,4,SM
2,10000,4,Sensitive
3,10000,4,CRISPR
4,10000,4,CRISPR
5,10000,4,CRISPR
6,10000,4,Sensitive
7,10000,4,CRISPR
8,10000,4,CRISPR
9,10000,4,Sensitive
10,10000,4,CRISPR
11,10000,4,CRISPR
12,10000,4,CRISPR
13,10000,4,SM
14,10000,4,CRISPR
15,10000,4,SM
16,10000,4,CRISPR
17,10000,4,CRISPR
18,10000,4,CRISPR
19,10000,4,CRISPR
20,10000,4,CRISPR
21,10000,4,CRISPR
22,10000,4,CRISPR
23,10000,4,CRISPR
24,10000,4,CRISPR
1,10000,5,CRISPR
2,10000,5,Sensitive
3,10000,5,CRISPR
4,10000,5,CRISPR
5,10000,5,CRISPR
6,10000,5,CRISPR
7,10000,5,Sensitive
8,10000,5,CRISPR
9,10000,5,CRISPR
10,10000,5,CRISPR
11,10000,5,Sensitive
12,10000,5,SM
13,10000,5,CRISPR
14,10000,5,CRISPR
15,10000,5,CRISPR
16,10000,5,CRISPR
17,10000,5,CRISPR
18,10000,5,CRISPR
19,10000,5,CRISPR
20,10000,5,CRISPR
21,10000,5,Sensitive
22,10000,5,CRISPR
23,10000,5,CRISPR
24,10000,5,CRISPR
1,10000,6,CRISPR
2,10000,6,CRISPR
3,10000,6,CRISPR
4,10000,6,CRISPR
5,10000,6,CRISPR
6,10000,6,CRISPR
7,10000,6,CRISPR
8,10000,6,CRISPR
9,10000,6,Sensitive
10,10000,6,SM
11,10000,6,CRISPR
12,10000,6,SM
13,10000,6,CRISPR
14,10000,6,CRISPR
15,10000,6,CRISPR
16,10000,6,CRISPR
17,10000,6,CRISPR
18,10000,6,CRISPR
19,10000,6,CRISPR
20,10000,6,SM
21,10000,6,SM
22,10000,6,CRISPR
23,10000,6,CRISPR
24,10000,6,SM
1,100000,1,CRISPR
2,100000,1,CRISPR
3,100000,1,CRISPR
4,100000,1,CRISPR
5,100000,1,CRISPR
6,100000,1,SM
7,100000,1,CRISPR
8,100000,1,CRISPR
9,100000,1,CRISPR
10,100000,1,CRISPR
11,100000,1,SM
12,100000,1,CRISPR
13,100000,1,SM
14,100000,1,CRISPR
15,100000,1,CRISPR
16,100000,1,CRISPR
17,100000,1,CRISPR
18,100000,1,CRISPR
19,100000,1,CRISPR
20,100000,1,SM
21,100000,1,CRISPR
22,100000,1,CRISPR
23,100000,1,CRISPR
24,100000,1,CRISPR
1,100000,2,CRISPR
2,100000,2,CRISPR
3,100000,2,CRISPR
4,100000,2,CRISPR
5,100000,2,CRISPR
6,100000,2,CRISPR
7,100000,2,CRISPR
8,100000,2,CRISPR
9,100000,2,CRISPR
10,100000,2,CRISPR
11,100000,2,CRISPR
12,100000,2,CRISPR
13,100000,2,CRISPR
14,100000,2,CRISPR
15,100000,2,CRISPR
16,100000,2,CRISPR
17,100000,2,CRISPR
18,100000,2,CRISPR
19,100000,2,CRISPR
20,100000,2,CRISPR
21,100000,2,CRISPR
22,100000,2,CRISPR
23,100000,2,CRISPR
24,100000,2,CRISPR
1,100000,3,CRISPR
2,100000,3,CRISPR
3,100000,3,CRISPR
4,100000,3,CRISPR
5,100000,3,CRISPR
6,100000,3,CRISPR
7,100000,3,CRISPR
8,100000,3,CRISPR
9,100000,3,CRISPR
10,100000,3,CRISPR
11,100000,3,CRISPR
12,100000,3,SM
13,100000,3,CRISPR
14,100000,3,CRISPR
15,100000,3,CRISPR
16,100000,3,CRISPR
17,100000,3,CRISPR
18,100000,3,CRISPR
19,100000,3,Sensitive
20,100000,3,CRISPR
21,100000,3,CRISPR
22,100000,3,SM
23,100000,3,CRISPR
24,100000,3,CRISPR
1,100000,4,Sensitive
2,100000,4,Sensitive
3,100000,4,SM
4,100000,4,CRISPR
5,100000,4,SM
6,100000,4,CRISPR
7,100000,4,Sensitive
8,100000,4,CRISPR
9,100000,4,CRISPR
10,100000,4,CRISPR
11,100000,4,SM
12,100000,4,CRISPR
13,100000,4,Sensitive
14,100000,4,SM
15,100000,4,CRISPR
16,100000,4,CRISPR
17,100000,4,CRISPR
18,100000,4,CRISPR
19,100000,4,CRISPR
20,100000,4,CRISPR
21,100000,4,CRISPR
22,100000,4,CRISPR
23,100000,4,CRISPR
24,100000,4,CRISPR
1,100000,5,CRISPR
2,100000,5,CRISPR
3,100000,5,CRISPR
4,100000,5,CRISPR
5,100000,5,CRISPR
6,100000,5,Sensitive
7,100000,5,CRISPR
8,100000,5,CRISPR
9,100000,5,CRISPR
10,100000,5,CRISPR
11,100000,5,SM
12,100000,5,SM
13,100000,5,CRISPR
14,100000,5,CRISPR
15,100000,5,CRISPR
16,100000,5,CRISPR
17,100000,5,CRISPR
18,100000,5,CRISPR
19,100000,5,CRISPR
20,100000,5,SM
21,100000,5,CRISPR
22,100000,5,CRISPR
23,100000,5,CRISPR
24,100000,5,SM
1,100000,6,CRISPR
2,100000,6,CRISPR
3,100000,6,SM
4,100000,6,CRISPR
5,100000,6,CRISPR
6,100000,6,CRISPR
7,100000,6,CRISPR
8,100000,6,CRISPR
9,100000,6,CRISPR
10,100000,6,CRISPR
11,100000,6,CRISPR
12,100000,6,CRISPR
13,100000,6,SM
14,100000,6,CRISPR
15,100000,6,CRISPR
16,100000,6,CRISPR
17,100000,6,CRISPR
18,100000,6,CRISPR
19,100000,6,CRISPR
20,100000,6,Sensitive
21,100000,6,CRISPR
22,100000,6,CRISPR
23,100000,6,CRISPR
24,100000,6,CRISPR
1,1000000,1,CRISPR
2,1000000,1,CRISPR
3,1000000,1,CRISPR
4,1000000,1,CRISPR
5,1000000,1,CRISPR
6,1000000,1,CRISPR
7,1000000,1,CRISPR
8,1000000,1,CRISPR
9,1000000,1,CRISPR
10,1000000,1,CRISPR
11,1000000,1,Sensitive
12,1000000,1,CRISPR
13,1000000,1,CRISPR
14,1000000,1,CRISPR
15,1000000,1,CRISPR
16,1000000,1,CRISPR
17,1000000,1,CRISPR
18,1000000,1,Sensitive
19,1000000,1,CRISPR
20,1000000,1,CRISPR
