bottleneck,timepoint,treatment,pfu,pfu.lower,pfu.upper,cfu,cfu.lower,cfu.upper
4,t3,exp,9000,1425.491,16574.51,381552945.7,10299391.8,14135073308
5,t3,exp,1333.333,210.8599,2455.807,245469549.2,6626045.191,9093705373
6,t3,exp,2333.333,369.2901,4297.377,239626221.9,6468314.219,8877232508
7,t3,exp,5333.333,844.5806,9822.086,46847020.19,1264557.962,1735502430
8,t3,exp,2066.667,327.042,3806.291,185.1094662,4.996724409,6857.59579
9,t3,exp,8.96E-05,-1.19E-08,1.19E-08,1.00E+00,0.026993349,37.0461648
2,t4,exp,0.000137329,-1.19E-08,1.19E-08,4.59E+08,102895342.8,2051092150
3,t4,exp,4.20E-05,-1.19E-08,1.19E-08,1.37E+08,3690591.941,5065035748
4,t4,exp,0,-1.19E-08,1.19E-08,4.39E+07,1185849.646,1627481700
5,t4,exp,7.25E-05,-1.19E-08,1.19E-08,1.10E+08,2958705.48,4060581409
6,t4,exp,0.000125885,-1.19E-08,1.19E-08,5.19E+07,1399906.524,1921257267
7,t4,exp,9.54E-05,-1.19E-08,1.19E-08,9.30E+07,2511554.623,3446903411
8,t4,exp,0.000076294,-1.19E-08,1.19E-08,4.84E+01,1.30690668,1793.622584
9,t4,exp,8.68E-05,-1.19E-08,1.19E-08,1.00E+00,0.026993349,37.0461648
2,t5,exp,0.000141144,-1.19E-08,1.19E-08,1.74E+08,38999525.49,777407591.3
3,t5,exp,0.000038147,-1.19E-08,1.19E-08,1.31E+08,3542564.129,4861879678
4,t5,exp,0,-1.19E-08,1.19E-08,1.29E+08,3481875.4,4778589358
5,t5,exp,4.96E-05,-1.19E-08,1.19E-08,4.22E+07,1140048.717,1564623670
6,t5,exp,0.0001297,-1.19E-08,1.19E-08,9.94E+06,268340.0643,368274802.6
7,t5,exp,9.54E-05,-1.19E-08,1.19E-08,1.97E+06,53198.68687,73010848.96
8,t5,exp,8.39E-05,-1.19E-08,1.19E-08,9.93E+01,2.681032878,3679.498462
9,t5,exp,7.72E-05,-1.19E-08,1.19E-08,1.00E+00,0.026993349,37.0461648
2,t0,phageN,,,,2.87E+06,3.85E+05,2.13E+07
3,t0,phageN,,,,2.49E+06,3.34E+05,1.85E+07
4,t0,phageN,,,,1.15E+06,1.55E+05,8.60E+06
5,t0,phageN,,,,2.73E+06,3.67E+05,2.03E+07
6,t0,phageN,,,,2.22E+06,2.98E+05,1.65E+07
7,t0,phageN,,,,5.15E+06,6.92E+05,3.83E+07
8,t0,phageN,,,,2.16E+06,2.91E+05,1.61E+07
9,t0,phageN,,,,1.82E+06,2.44E+05,1.35E+07
2,t1,phageN,,,,3.96E+08,5.32E+07,2.95E+09
3,t1,phageN,,,,8.24E+07,1.11E+07,6.14E+08
4,t1,phageN,,,,8.32E+07,1.12E+07,6.19E+08
5,t1,phageN,,,,7.43E+07,9.98E+06,5.53E+08
6,t1,phageN,,,,3.06E+08,4.11E+07,2.28E+09
7,t1,phageN,,,,6.32E+07,8.49E+06,4.70E+08
8,t1,phageN,,,,7.88E+08,1.06E+08,5.86E+09
9,t1,phageN,,,,6.80E+08,9.14E+07,5.06E+09
2,t2,phageN,,,,,,
3,t2,phageN,,,,,,
4,t2,phageN,,,,,,
5,t2,phageN,,,,,,
6,t2,phageN,,,,,,
7,t2,phageN,,,,,,
8,t2,phageN,,,,,,
9,t2,phageN,,,,,,
2,t3,phageN,,,,,,
3,t3,phageN,,,,,,
4,t3,phageN,,,,,,
5,t3,phageN,,,,,,
6,t3,phageN,,,,,,
7,t3,phageN,,,,,,
8,t3,phageN,,,,,,
9,t3,phageN,,,,,,
2,t4,phageN,,,,,,
3,t4,phageN,,,,,,
4,t4,phageN,,,,,,
5,t4,phageN,,,,,,
6,t4,phageN,,,,,,
7,t4,phageN,,,,,,
8,t4,phageN,,,,,,
9,t4,phageN,,,,,,
2,t5,phageN,,,,,,
3,t5,phageN,,,,,,
4,t5,phageN,,,,,,
5,t5,phageN,,,,,,
6,t5,phageN,,,,,,
7,t5,phageN,,,,,,
8,t5,phageN,,,,,,
9,t5,phageN,,,,,,
